,score,avg_moves,num_positivs,reward
8230,980,86,1,12121.0
8231,740,81,1,9630.0
8232,1120,98,1,13320.0
8233,860,88,1,8540.0
8234,520,62,1,6323.0
8235,180,45,1,814.0
8236,520,73,1,6934.0
8237,640,79,1,9006.0
8238,220,50,1,2118.0
8239,740,75,1,8056.0
8240,1000,99,1,12881.0
8241,900,92,1,11265.0
8242,460,68,1,4316.0
8243,400,67,1,4396.0
8244,440,65,1,4696.0
8245,560,74,1,6477.0
8246,300,54,1,3166.0
8247,820,89,1,10287.0
8248,620,78,1,7676.0
8249,580,77,1,7116.0
8250,1100,108,1,14828.0
8251,740,85,1,8841.0
8252,920,96,1,11421.0
8253,1300,116,1,16347.0
8254,700,73,1,8061.0
8255,420,64,1,4588.0
8256,720,87,1,10124.0
8257,660,81,1,8965.0
8258,540,73,1,6748.0
8259,460,69,1,5160.0
8260,640,81,1,9001.0
8261,720,82,1,9049.0
8262,860,82,1,9699.0
8263,740,87,1,9565.0
8264,420,64,1,4194.0
8265,680,80,1,8382.0
8266,720,82,1,9129.0
8267,860,93,1,11403.0
8268,240,53,1,1689.0
8269,1380,120,1,18432.0
8270,80,39,1,-164.0
8271,680,78,1,7690.0
8272,1120,106,1,14704.0
8273,1760,84,1,9425.0
8274,740,81,1,9205.0
8275,620,71,1,7064.0
8276,1280,117,1,16930.0
8277,700,82,1,8462.0
8278,880,94,1,11367.0
8279,580,74,1,7355.0
8280,820,92,1,11544.0
8281,880,93,1,11895.0
8282,800,88,1,10238.0
8283,860,91,1,11516.0
8284,580,76,1,7324.0
8285,440,63,1,4659.0
8286,760,87,1,9928.0
8287,1180,110,1,15837.0
8288,1120,109,1,14955.0
8289,980,80,1,9153.0
8290,900,84,1,10419.0
8291,80,44,1,-1236.0
8292,440,60,1,4266.0
8293,420,65,1,4100.0
8294,920,95,1,12464.0
8295,740,87,1,10314.0
8296,1300,117,1,17122.0
8297,640,76,1,7494.0
8298,380,60,1,4162.0
8299,600,76,1,6977.0
8300,660,80,1,8235.0
8301,440,67,1,4593.0
8302,600,78,1,7643.0
8303,280,58,1,2208.0
8304,420,68,1,4915.0
8305,600,54,1,5689.0
8306,960,98,1,12170.0
8307,1280,113,1,16954.0
8308,700,74,1,8134.0
8309,920,94,1,11275.0
8310,540,73,1,6755.0
8311,400,65,1,3388.0
8312,2060,90,1,12870.0
8313,320,61,1,3487.0
8314,660,76,1,7567.0
8315,340,58,1,3961.0
8316,820,80,1,9260.0
8317,880,91,1,10750.0
8318,220,45,1,1896.0
8319,800,89,1,10180.0
8320,420,65,1,3601.0
8321,1040,93,1,12548.0
8322,1080,106,1,14345.0
8323,900,75,1,8582.0
8324,300,57,1,2918.0
8325,540,74,1,6265.0
8326,500,72,1,5935.0
8327,800,89,1,10233.0
8328,1000,91,1,12466.0
8329,580,73,1,5919.0
8330,860,92,1,11027.0
8331,760,73,1,8802.0
8332,400,66,1,4340.0
8333,1060,95,1,12887.0
8334,560,75,1,6893.0
8335,840,89,1,10750.0
8336,500,72,1,5801.0
8337,240,56,1,1625.0
8338,880,84,1,10334.0
8339,200,52,1,1717.0
8340,820,88,1,10052.0
8341,1040,104,1,13929.0
8342,760,83,1,8102.0
8343,560,72,1,5866.0
8344,580,67,1,5011.0
8345,280,57,1,2641.0
8346,460,69,1,5007.0
8347,540,72,1,6353.0
8348,1040,102,1,13964.0
8349,2140,107,1,15736.0
8350,500,72,1,5648.0
8351,700,82,1,9288.0
8352,340,58,1,3427.0
8353,940,93,1,11027.0
8354,1680,140,1,22831.0
8355,960,94,1,11813.0
8356,1160,109,1,14926.0
8357,940,100,1,13172.0
8358,700,83,1,8736.0
8359,520,72,1,7358.0
8360,1680,126,1,20804.0
8361,580,74,1,7346.0
8362,820,92,1,11601.0
8363,1180,91,1,13703.0
8364,760,87,1,10829.0
8365,300,55,1,2080.0
8366,420,62,1,4520.0
8367,500,70,1,5673.0
8368,400,68,1,5447.0
8369,360,64,1,4459.0
8370,520,74,1,6281.0
8371,740,87,1,9798.0
8372,600,74,1,6991.0
8373,0,26,0,-1780.0
8374,1260,109,1,15531.0
8375,840,90,1,10052.0
8376,200,52,1,-113.0
8377,540,71,1,5896.0
8378,540,75,1,6353.0
8379,680,83,1,8873.0
8380,940,100,1,12970.0
8381,740,84,1,9570.0
8382,480,69,1,4978.0
8383,920,85,1,10759.0
8384,600,78,1,8376.0
8385,860,91,1,10969.0
8386,700,85,1,9253.0
8387,740,88,1,9481.0
8388,1100,107,1,14613.0
8389,1020,92,1,11828.0
8390,1160,105,1,17058.0
8391,940,97,1,12164.0
8392,1220,101,1,14565.0
8393,880,81,1,10268.0
8394,1080,103,1,14521.0
8395,300,55,1,2546.0
8396,900,96,1,12712.0
8397,720,84,1,9176.0
8398,900,91,1,10123.0
8399,820,78,1,8492.0
8400,800,86,1,10164.0
8401,800,89,1,12031.0
8402,960,96,1,11006.0
8403,680,79,1,8657.0
8404,620,78,1,8538.0
8405,400,48,1,1982.0
8406,860,89,1,10961.0
8407,880,82,1,9882.0
8408,1460,121,1,18553.0
8409,500,70,1,5761.0
8410,520,74,1,6607.0
8411,640,79,1,7918.0
8412,460,67,1,5537.0
8413,440,68,1,5864.0
8414,1740,82,1,9939.0
8415,1520,121,1,20333.0
8416,320,64,1,3494.0
8417,120,38,1,450.0
8418,300,57,1,2305.0
8419,520,72,1,5974.0
8420,1200,93,1,14017.0
8421,600,74,1,6879.0
8422,1180,88,1,13033.0
8423,1060,101,1,12952.0
8424,500,69,1,5760.0
8425,540,68,1,4873.0
8426,1060,84,1,11078.0
8427,780,84,1,9826.0
8428,260,57,1,1676.0
8429,1140,106,1,15009.0
8430,780,90,1,10232.0
8431,480,68,1,4637.0
8432,1000,98,1,12849.0
8433,1140,86,1,13000.0
8434,400,66,1,5200.0
8435,1060,104,1,13986.0
8436,1180,104,1,15399.0
8437,840,74,1,9366.0
8438,780,86,1,9266.0
8439,660,77,1,7717.0
8440,1080,103,1,13753.0
8441,600,71,1,7842.0
8442,980,96,1,12966.0
8443,880,80,1,9853.0
8444,860,90,1,11260.0
8445,460,64,1,5982.0
8446,240,55,1,2098.0
8447,1080,105,1,14466.0
8448,700,74,1,8146.0
8449,320,60,1,3591.0
8450,1360,112,1,17414.0
8451,500,70,1,6091.0
8452,500,73,1,5684.0
8453,600,76,1,7350.0
8454,1260,108,1,17119.0
8455,920,95,1,12217.0
8456,1180,101,1,15286.0
8457,840,89,1,10928.0
8458,840,89,1,9825.0
8459,1580,131,1,20495.0
8460,640,73,1,7974.0
8461,1080,106,1,15327.0
8462,380,61,1,4308.0
8463,880,93,1,11748.0
8464,900,96,1,11797.0
8465,320,57,1,2892.0
8466,760,75,1,7991.0
8467,600,77,1,6881.0
8468,660,78,1,7250.0
8469,900,81,1,10133.0
8470,1800,84,1,10103.0
8471,680,82,1,8243.0
8472,420,64,1,4123.0
8473,300,58,1,2783.0
8474,1120,98,1,13240.0
8475,940,85,1,10425.0
8476,2200,138,1,26283.0
8477,760,86,1,10109.0
8478,1380,111,1,17649.0
8479,720,86,1,9802.0
8480,920,80,1,11310.0
8481,380,63,1,3721.0
8482,660,80,1,7816.0
8483,400,64,1,4553.0
8484,520,71,1,6357.0
8485,960,86,1,11142.0
8486,960,98,1,12857.0
8487,600,75,1,7140.0
8488,280,58,1,2309.0
8489,540,75,1,6445.0
