,score,avg_moves,num_positivs,reward
9622,620,79,1,7493.0
9623,800,90,1,10455.0
9624,340,61,1,3259.0
9625,360,63,1,4246.0
9626,1040,98,1,13659.0
9627,200,41,1,2188.0
9628,900,96,1,12834.0
9629,1340,103,1,16402.0
9630,420,66,1,4581.0
9631,320,59,1,3164.0
9632,640,78,1,7916.0
9633,600,77,1,7674.0
9634,780,77,1,9028.0
9635,360,65,1,4136.0
9636,420,66,1,4469.0
9637,720,85,1,10138.0
9638,820,92,1,11013.0
9639,900,85,1,11173.0
9640,640,80,1,8039.0
9641,860,91,1,10920.0
9642,800,84,1,9002.0
9643,960,96,1,11843.0
9644,980,99,1,12894.0
9645,600,80,1,7571.0
9646,1480,119,1,19264.0
9647,1840,88,1,10655.0
9648,360,62,1,4117.0
9649,500,71,1,5626.0
9650,1880,86,1,11167.0
9651,800,91,1,11120.0
9652,600,77,1,7547.0
9653,560,70,1,6750.0
9654,420,67,1,4691.0
9655,520,72,1,6141.0
9656,380,46,1,1308.0
9657,600,79,1,7571.0
9658,200,52,1,1362.0
9659,220,54,1,886.0
9660,760,83,1,9903.0
9661,240,56,1,2582.0
9662,500,70,1,6074.0
9663,860,92,1,10770.0
9664,440,69,1,4926.0
9665,1100,103,1,14038.0
9666,680,70,1,7607.0
9667,500,69,1,5949.0
9668,480,68,1,4399.0
9669,1120,96,1,12905.0
9670,960,94,1,11867.0
9671,440,64,1,3983.0
9672,620,77,1,7967.0
9673,1020,101,1,12680.0
9674,820,89,1,9994.0
9675,660,72,1,6417.0
9676,800,84,1,10476.0
9677,920,94,1,11594.0
9678,320,60,1,2601.0
9679,720,83,1,9265.0
9680,640,69,1,6280.0
9681,940,95,1,11672.0
9682,420,67,1,4201.0
9683,480,68,1,5076.0
9684,500,70,1,6265.0
9685,500,68,1,4549.0
9686,620,78,1,7078.0
9687,320,60,1,3083.0
9688,600,77,1,7113.0
9689,280,57,1,2493.0
9690,200,51,1,2022.0
9691,660,74,1,7261.0
9692,540,72,1,5709.0
9693,860,90,1,10845.0
9694,200,53,1,1690.0
9695,1280,116,1,17420.0
9696,1580,124,1,20347.0
9697,840,90,1,10372.0
9698,500,71,1,5586.0
9699,740,85,1,10297.0
9700,260,56,1,1982.0
9701,900,92,1,11347.0
9702,400,67,1,4721.0
9703,2920,203,1,41564.0
9704,640,77,1,7213.0
9705,620,76,1,7674.0
9706,480,69,1,4640.0
9707,1000,100,1,13428.0
9708,200,52,1,1367.0
9709,980,96,1,11806.0
9710,520,69,1,5030.0
9711,600,78,1,7670.0
9712,640,80,1,7848.0
9713,760,87,1,9136.0
9714,640,83,1,9008.0
9715,680,81,1,8223.0
9716,720,82,1,8090.0
9717,660,82,1,8439.0
9718,800,85,1,9689.0
9719,260,52,1,1867.0
9720,680,81,1,7477.0
9721,660,71,1,7266.0
9722,780,85,1,9817.0
9723,280,52,1,1838.0
9724,280,55,1,2733.0
9725,400,59,1,4744.0
