,score,avg_moves,num_positivs
776,0,26,0
777,0,23,0
778,40,31,1
779,440,47,1
780,0,24,0
781,0,26,0
782,40,35,1
783,0,27,0
784,0,21,0
785,0,39,0
786,0,25,0
787,0,26,0
788,400,44,1
789,0,23,0
790,0,18,0
791,0,31,0
792,180,29,1
793,0,27,0
794,160,47,1
795,300,40,1
796,0,22,0
797,100,44,1
798,0,35,0
799,380,36,1
800,0,37,0
801,40,42,1
802,0,24,0
803,0,26,0
804,80,38,1
805,500,65,1
806,0,25,0
807,0,33,0
808,100,31,1
809,0,31,0
810,0,26,0
811,0,24,0
812,0,26,0
813,260,47,1
814,0,24,0
815,0,26,0
816,0,21,0
817,0,29,0
818,40,42,1
819,40,37,1
820,80,46,1
821,0,31,0
822,0,24,0
823,100,26,1
824,0,25,0
825,260,52,1
826,0,27,0
827,0,34,0
828,140,42,1
829,0,35,0
830,100,25,1
831,380,46,1
832,40,32,1
833,40,34,1
834,40,34,1
835,0,25,0
836,0,30,0
837,0,18,0
838,40,33,1
839,0,38,0
840,0,24,0
841,100,30,1
842,0,25,0
843,100,29,1
844,0,32,0
845,0,25,0
846,40,31,1
847,40,30,1
848,0,32,0
849,80,37,1
850,120,40,1
851,280,48,1
852,0,25,0
853,0,35,0
854,40,39,1
855,0,30,0
856,0,28,0
857,300,22,1
858,240,34,1
859,0,33,0
860,440,45,1
861,0,27,0
862,0,32,0
863,0,31,0
864,100,45,1
865,280,42,1
866,0,27,0
867,100,33,1
868,80,24,1
869,0,25,0
870,0,22,0
871,0,26,0
872,0,31,0
873,0,27,0
874,40,38,1
875,300,28,1
876,0,23,0
877,0,28,0
878,0,24,0
879,0,26,0
880,0,27,0
881,40,43,1
882,260,47,1
883,340,28,1
884,0,32,0
885,0,29,0
886,0,24,0
887,180,48,1
888,40,40,1
889,40,32,1
890,0,18,0
891,300,53,1
892,0,26,0
893,0,39,0
894,0,27,0
895,0,31,0
896,0,22,0
897,0,29,0
898,0,24,0
899,0,28,0
900,0,29,0
901,140,49,1
902,120,24,1
903,80,38,1
904,0,26,0
905,0,26,0
906,520,62,1
907,0,34,0
908,0,24,0
909,0,36,0
910,140,48,1
911,140,45,1
912,0,21,0
913,0,36,0
914,180,44,1
915,40,41,1
916,0,32,0
917,0,24,0
918,300,35,1
919,0,29,0
920,40,34,1
921,100,21,1
922,160,53,1
923,0,36,0
924,0,26,0
925,100,30,1
926,0,38,0
927,40,40,1
928,0,26,0
929,40,33,1
930,0,29,0
931,0,28,0
932,0,33,0
933,100,24,1
934,0,26,0
935,140,47,1
936,0,20,0
937,0,25,0
938,700,54,1
939,0,20,0
940,400,35,1
941,0,25,0
942,0,29,0
943,40,33,1
944,0,37,0
945,0,21,0
946,0,28,0
947,0,26,0
948,0,23,0
949,40,32,1
950,0,34,0
951,240,47,1
952,0,25,0
953,0,32,0
954,0,32,0
955,0,29,0
956,0,30,0
957,0,20,0
958,0,34,0
959,0,25,0
960,0,39,0
961,0,26,0
962,0,33,0
963,40,38,1
964,0,25,0
965,0,26,0
966,0,26,0
967,0,30,0
968,0,25,0
969,0,27,0
970,880,71,1
971,100,37,1
972,0,23,0
973,0,29,0
974,0,25,0
975,0,26,0
976,40,37,1
977,0,22,0
978,100,26,1
979,0,29,0
