,score,avg_moves,num_positivs,reward
7494,240,53,1,1620.0
7495,120,44,1,-353.0
7496,260,52,1,1599.0
7497,200,46,1,1179.0
7498,40,36,1,-1228.0
7499,160,45,1,357.0
7500,40,27,1,-476.0
7501,80,42,1,-1256.0
7502,80,42,1,-1032.0
7503,280,59,1,2701.0
7504,120,43,1,-796.0
7505,80,40,1,-1121.0
7506,220,47,1,812.0
7507,280,57,1,2017.0
7508,160,45,1,620.0
7509,360,57,1,3592.0
7510,260,48,1,1347.0
7511,80,34,1,-577.0
7512,160,43,1,130.0
7513,40,38,1,-2616.0
7514,200,48,1,1011.0
7515,320,57,1,2816.0
7516,300,53,1,2011.0
7517,240,48,1,1576.0
7518,120,48,1,-218.0
7519,120,45,1,-460.0
7520,580,73,1,6718.0
7521,340,57,1,2916.0
7522,80,40,1,-891.0
7523,180,45,1,-239.0
7524,320,52,1,3141.0
7525,120,40,1,-310.0
7526,320,49,1,2451.0
7527,160,48,1,68.0
7528,300,53,1,1613.0
7529,220,48,1,832.0
7530,160,36,1,1211.0
7531,40,42,1,-1968.0
7532,200,47,1,1022.0
7533,160,40,1,780.0
7534,80,40,1,-986.0
7535,40,40,1,-2002.0
7536,80,37,1,-528.0
7537,120,44,1,-295.0
7538,160,43,1,395.0
7539,160,38,1,1157.0
7540,160,44,1,953.0
7541,200,50,1,666.0
7542,160,42,1,153.0
7543,120,40,1,-367.0
7544,0,24,0,-2069.0
7545,360,57,1,3857.0
7546,160,42,1,823.0
7547,40,34,1,-962.0
7548,160,46,1,258.0
7549,120,45,1,72.0
7550,240,51,1,1389.0
7551,200,48,1,1000.0
7552,320,57,1,2837.0
7553,160,45,1,-1088.0
7554,260,47,1,2104.0
7555,80,41,1,-1709.0
7556,300,52,1,2892.0
7557,360,61,1,3707.0
7558,240,46,1,1247.0
7559,320,48,1,2902.0
7560,460,62,1,5697.0
7561,260,47,1,2160.0
7562,200,51,1,735.0
7563,240,52,1,940.0
7564,0,29,0,-1251.0
7565,80,41,1,-297.0
7566,360,54,1,2158.0
7567,160,46,1,794.0
7568,320,59,1,2392.0
7569,200,39,1,1390.0
7570,240,53,1,1882.0
7571,200,43,1,954.0
7572,200,50,1,868.0
7573,120,40,1,83.0
7574,120,42,1,-244.0
7575,320,55,1,3160.0
7576,80,38,1,-826.0
7577,40,40,1,-1383.0
7578,120,46,1,-28.0
7579,140,42,1,-310.0
7580,160,41,1,237.0
7581,0,23,0,-1858.0
7582,200,50,1,781.0
7583,620,71,1,5597.0
7584,380,58,1,3358.0
7585,260,52,1,1105.0
7586,320,57,1,2004.0
7587,120,45,1,389.0
7588,240,54,1,1684.0
7589,120,42,1,-403.0
7590,440,58,1,4303.0
7591,40,32,1,-785.0
7592,200,45,1,1224.0
7593,280,57,1,2300.0
7594,200,49,1,1553.0
7595,200,48,1,1218.0
7596,80,38,1,69.0
7597,420,63,1,4245.0
7598,160,45,1,627.0
7599,80,39,1,-671.0
7600,160,47,1,174.0
7601,160,48,1,216.0
7602,240,48,1,2481.0
7603,240,49,1,1434.0
7604,80,38,1,-771.0
7605,160,46,1,393.0
7606,80,36,1,-1530.0
7607,200,47,1,1111.0
7608,120,46,1,-982.0
7609,80,45,1,-911.0
7610,480,61,1,4771.0
7611,120,38,1,461.0
7612,120,47,1,-192.0
7613,320,58,1,3048.0
7614,360,61,1,3519.0
7615,240,53,1,1379.0
7616,280,57,1,2056.0
7617,120,24,1,1032.0
7618,360,57,1,3232.0
7619,260,53,1,2212.0
7620,280,50,1,1486.0
7621,220,51,1,1031.0
7622,500,69,1,5563.0
7623,120,44,1,-67.0
7624,240,50,1,1311.0
7625,160,41,1,740.0
7626,80,32,1,-486.0
7627,140,37,1,-824.0
7628,80,35,1,-774.0
7629,40,40,1,-1924.0
7630,80,42,1,-1081.0
7631,120,48,1,-550.0
7632,240,49,1,1236.0
7633,160,49,1,622.0
7634,80,44,1,-1183.0
7635,300,57,1,2571.0
7636,280,55,1,2302.0
7637,360,62,1,3902.0
7638,160,47,1,75.0
7639,120,44,1,-30.0
7640,320,56,1,3007.0
7641,160,45,1,16.0
7642,240,48,1,1535.0
7643,520,69,1,5924.0
7644,240,53,1,1517.0
7645,160,45,1,918.0
7646,240,46,1,2172.0
7647,220,45,1,841.0
7648,160,38,1,723.0
7649,160,44,1,287.0
7650,280,54,1,1992.0
7651,200,50,1,906.0
7652,160,46,1,768.0
7653,380,56,1,4037.0
7654,480,67,1,5439.0
7655,200,48,1,1089.0
7656,200,48,1,1367.0
7657,260,48,1,1809.0
7658,40,38,1,-1321.0
7659,120,42,1,-198.0
7660,80,36,1,-1582.0
7661,80,40,1,-953.0
7662,40,38,1,-1896.0
7663,540,65,1,6381.0
7664,500,64,1,5764.0
7665,40,39,1,-2067.0
7666,80,39,1,-623.0
7667,120,39,1,336.0
7668,80,42,1,-731.0
7669,200,50,1,1528.0
7670,280,57,1,2732.0
7671,260,50,1,1479.0
7672,880,86,1,10228.0
7673,80,35,1,15.0
7674,80,41,1,-595.0
7675,300,50,1,2942.0
7676,40,39,1,-1534.0
7677,200,51,1,1505.0
7678,120,42,1,-1031.0
7679,200,47,1,1334.0
7680,240,50,1,1436.0
7681,200,50,1,873.0
7682,120,44,1,-674.0
7683,120,43,1,-185.0
7684,160,42,1,987.0
7685,420,63,1,4133.0
7686,340,56,1,3214.0
7687,80,41,1,-1108.0
7688,40,37,1,-1663.0
7689,200,50,1,1663.0
7690,120,39,1,-539.0
7691,260,55,1,1601.0
7692,160,44,1,139.0
7693,80,41,1,-2536.0
7694,220,49,1,669.0
7695,220,48,1,373.0
7696,220,46,1,1027.0
7697,320,58,1,2501.0
7698,80,44,1,-1038.0
7699,80,42,1,-1232.0
7700,360,60,1,3362.0
7701,280,52,1,2222.0
7702,300,50,1,2693.0
7703,120,42,1,204.0
7704,340,58,1,3014.0
7705,240,50,1,1441.0
7706,400,64,1,3469.0
7707,240,51,1,1516.0
7708,120,45,1,-160.0
7709,280,56,1,1723.0
7710,240,45,1,2031.0
7711,640,66,1,6570.0
7712,320,56,1,1514.0
7713,260,51,1,2119.0
7714,40,37,1,-1740.0
7715,300,55,1,2663.0
7716,300,54,1,2330.0
7717,260,44,1,1133.0
7718,160,38,1,1007.0
7719,420,56,1,4177.0
7720,160,45,1,347.0
7721,140,39,1,-85.0
7722,200,48,1,1106.0
7723,460,65,1,4299.0
7724,120,33,1,-297.0
7725,120,42,1,355.0
7726,0,38,0,-1985.0
7727,200,42,1,2016.0
7728,180,42,1,-62.0
7729,240,54,1,1409.0
7730,380,61,1,3488.0
7731,240,53,1,1258.0
7732,200,51,1,1355.0
7733,200,51,1,513.0
7734,540,70,1,6537.0
7735,80,39,1,-531.0
7736,320,54,1,3151.0
7737,200,42,1,-929.0
7738,360,60,1,3406.0
7739,360,61,1,3415.0
7740,240,53,1,1552.0
7741,440,64,1,4938.0
7742,340,58,1,2648.0
7743,80,42,1,-2102.0
7744,160,45,1,436.0
7745,160,42,1,375.0
7746,200,43,1,983.0
7747,280,55,1,1834.0
7748,40,36,1,-943.0
7749,680,76,1,7736.0
7750,380,60,1,3722.0
7751,600,72,1,7130.0
7752,160,43,1,967.0
7753,160,44,1,776.0
7754,120,46,1,-245.0
7755,580,74,1,6301.0
7756,200,40,1,1531.0
7757,80,43,1,-977.0
7758,360,59,1,3580.0
7759,200,49,1,1042.0
7760,120,46,1,-705.0
7761,120,37,1,-65.0
7762,260,50,1,1186.0
7763,160,37,1,1039.0
7764,360,60,1,3447.0
7765,300,53,1,2226.0
7766,120,41,1,124.0
7767,220,50,1,1029.0
7768,240,51,1,1856.0
7769,200,48,1,1189.0
7770,160,46,1,562.0
7771,280,52,1,2914.0
7772,160,45,1,-176.0
7773,740,75,1,8722.0
7774,300,56,1,1722.0
7775,160,48,1,1073.0
7776,300,51,1,2506.0
7777,480,62,1,5171.0
7778,300,56,1,2079.0
7779,180,47,1,24.0
7780,180,43,1,225.0
7781,180,48,1,-126.0
7782,280,53,1,2526.0
7783,220,47,1,1150.0
7784,40,34,1,-1226.0
7785,200,37,1,1678.0
7786,220,47,1,1330.0
7787,240,52,1,1604.0
7788,240,43,1,1479.0
7789,160,49,1,470.0
7790,120,39,1,-306.0
7791,280,51,1,1890.0
7792,160,45,1,305.0
7793,0,39,0,-1920.0
7794,120,43,1,-102.0
7795,300,55,1,1906.0
7796,80,42,1,-819.0
7797,40,31,1,-1389.0
7798,120,45,1,-736.0
7799,120,39,1,142.0
7800,360,56,1,4392.0
7801,40,37,1,-2028.0
7802,160,51,1,506.0
7803,240,54,1,1437.0
7804,120,43,1,347.0
7805,340,58,1,2614.0
7806,160,42,1,-602.0
7807,320,56,1,2812.0
7808,240,52,1,1197.0
7809,240,54,1,1154.0
7810,120,46,1,-232.0
7811,200,49,1,769.0
7812,160,47,1,-55.0
7813,80,43,1,-1067.0
7814,240,50,1,1854.0
7815,40,34,1,-1618.0
7816,200,49,1,1179.0
7817,120,45,1,-505.0
7818,40,33,1,-621.0
7819,120,38,1,-99.0
7820,260,52,1,1852.0
7821,320,59,1,2860.0
7822,200,49,1,1192.0
7823,160,48,1,342.0
7824,160,46,1,616.0
7825,200,45,1,880.0
7826,160,41,1,545.0
7827,160,47,1,540.0
7828,200,46,1,607.0
7829,120,39,1,1071.0
7830,160,45,1,136.0
7831,40,33,1,-1020.0
7832,80,44,1,-320.0
7833,40,40,1,-1371.0
7834,360,63,1,3295.0
7835,280,51,1,3191.0
7836,220,49,1,634.0
7837,220,51,1,625.0
7838,220,51,1,1002.0
7839,300,54,1,2229.0
7840,280,56,1,2174.0
7841,420,61,1,3870.0
7842,180,44,1,250.0
7843,80,43,1,-250.0
7844,220,43,1,2116.0
